"time","timeDate","close","high","low","open","volumefrom","volumeto"
1495324800000,"2017-05-20",0.000446,0.00046,0.00038,0.0004178,109078.51,46.02
1495411200000,"2017-05-21",0.000337,0.0004599,0.0003,0.000446,338006.29,115.93
1495497600000,"2017-05-22",0.0003478,0.000351,0.0002801,0.000337,429353.26,135.59
1495584000000,"2017-05-23",0.00063,0.0007499,0.000345,0.0003478,891866.16,471.46
1495670400000,"2017-05-24",0.00045,0.000685,0.0004,0.00063,449300.26,214.64
1495756800000,"2017-05-25",0.0003652,0.00052,0.0003624,0.00045,398122.01,165.36
1495843200000,"2017-05-26",0.0004126,0.000437,0.0003002,0.0003652,208118.54,74.43
1495929600000,"2017-05-27",0.0004022,0.0004368,0.0003786,0.0004126,185454.3,74.17
1496016000000,"2017-05-28",0.0004277,0.0005,0.0003621,0.0004022,184495.03,78.84
1496102400000,"2017-05-29",0.0004,0.0005399,0.0004,0.0004277,334971.45,150.6
1496188800000,"2017-05-30",0.0004047,0.0004353,0.00037,0.0004,191408.1,78.52
1496275200000,"2017-05-31",0.0004707,0.00048,0.000315,0.0004047,334751.47,134.8
1496361600000,"2017-06-01",0.0005021,0.000525,0.0004567,0.0004707,245667.75,120.33
1496448000000,"2017-06-02",0.0004684,0.00051,0.0004618,0.0005021,206969.85,100.25
1496534400000,"2017-06-03",0.0004818,0.0005,0.00041,0.0004684,181787.08,85.72
1496620800000,"2017-06-04",0.0004567,0.0005,0.0003499,0.0004818,414074.23,181.87
1496707200000,"2017-06-05",0.000445,0.00046,0.0003989,0.0004567,165191.14,71.23
1496793600000,"2017-06-06",0.000497,0.000497,0.0004299,0.000445,253080.57,116.75
1496880000000,"2017-06-07",0.0004698,0.00053,0.000441,0.000497,260477.37,124.97
1496966400000,"2017-06-08",0.000585,0.000595,0.000445,0.0004698,288121.88,143.44
1497052800000,"2017-06-09",0.000543,0.0007075,0.0004995,0.000585,810252.62,485.6
1497139200000,"2017-06-10",0.0005661,0.00062,0.00045,0.000543,340982.69,182.36
1497225600000,"2017-06-11",0.0005098,0.0005836,0.0004,0.0005661,695358.24,343.66
1497312000000,"2017-06-12",0.0006683,0.0006896,0.0005097,0.0005098,510001.64,315.9
1497398400000,"2017-06-13",0.000615,0.00076,0.0005,0.0006683,803935.24,524.3
1497484800000,"2017-06-14",0.0006772,0.000711,0.0005799,0.000615,380738.47,247.33
1497571200000,"2017-06-15",0.00101,0.00106,0.0006611,0.0006772,1002201.64,875.06
1497657600000,"2017-06-16",0.001376,0.001525,0.000928,0.00101,2560700.16,3353.22
1497744000000,"2017-06-17",0.00219,0.00236,0.001278,0.001376,2134224.81,3653.82
1497830400000,"2017-06-18",0.005277,0.00541,0.002161,0.00219,7101480.11,24548.1
1497916800000,"2017-06-19",0.003257,0.0053,0.00256,0.005277,5067832.59,19701.79
1498003200000,"2017-06-20",0.004175,0.00435,0.0031,0.003257,2897930.38,10553.1
1498089600000,"2017-06-21",0.0027,0.0043,0.0025,0.004175,4242648.82,14137.76
1498176000000,"2017-06-22",0.002579,0.00322,0.002,0.0027,3231160.37,8366.5
1498262400000,"2017-06-23",0.002448,0.00273,0.00235,0.002579,1602196.6,4044.34
1498348800000,"2017-06-24",0.002176,0.002524,0.002001,0.002448,1617506.67,3642.27
1498435200000,"2017-06-25",0.002071,0.002333,0.001761,0.002176,1948089.94,3904.61
1498521600000,"2017-06-26",0.00279,0.002994,0.001999,0.002071,3171706.05,8217.21
1498608000000,"2017-06-27",0.003199,0.00345,0.002491,0.00279,2846217.89,8731.95
1498694400000,"2017-06-28",0.00383,0.00395,0.003013,0.003199,2559681.33,9100.2
1498780800000,"2017-06-29",0.003369,0.00394,0.003279,0.00383,1991044.02,7245.43
1498867200000,"2017-06-30",0.003167,0.003662,0.00301,0.003369,1539315.13,5016.76
1498953600000,"2017-07-01",0.00321,0.003482,0.002808,0.003167,1670929.72,5227
1499040000000,"2017-07-02",0.003203,0.0033,0.003047,0.00321,985958.49,3108.37
1499126400000,"2017-07-03",0.002956,0.00322,0.002931,0.003203,829060.9,2554.63
1499212800000,"2017-07-04",0.003016,0.00322,0.002809,0.002956,847770.79,2542.13
1499299200000,"2017-07-05",0.002999,0.003188,0.002918,0.003016,717284.14,2186.12
1499385600000,"2017-07-06",0.002697,0.00302,0.00264,0.002999,956222.88,2677.29
1499472000000,"2017-07-07",0.002883,0.002963,0.0024,0.002697,957635.66,2560.53
1499558400000,"2017-07-08",0.002725,0.002975,0.002655,0.002883,487881.27,1360.33
1499644800000,"2017-07-09",0.002413,0.00275,0.00229,0.002725,908022.58,2299.81
1499731200000,"2017-07-10",0.00227,0.00253,0.002,0.002413,1356138.06,3065.44
1499817600000,"2017-07-11",0.002729,0.002895,0.00215,0.00227,1302993.44,3253.56
